"iso3","country","continent","population","GNI"
"IDN","Indonesia","Asia",240271522,3630
"UKR","Ukraine","Europe",45700395,3560
"SWZ","Swaziland","Africa",1123913,3550
"PHL","Philippines","Asia",97976603,3500
"LKA","Sri Lanka","Asia",21324791,3460
"CPV","Cabo Verde","Africa",429474,3450
"GTM","Guatemala","North America",13276517,3430
"FSM","Micronesia, Fed. Sts.","Oceania",107434,3200
"VUT","Vanuatu","Oceania",218519,3160
"MAR","Morocco","Africa",34859364,3070
"WBG","West Bank and Gaza","Asia",4550368,3060
"EGY","Egypt, Arab Rep.","Africa",83082869,3050
"NGA","Nigeria","Africa",149229090,2970
"KIR","Kiribati","Oceania",112850,2950
"BOL","Bolivia","South America",9775246,2870
"COG","Congo, Rep.","Africa",4012809,2720
"TMP","Timor-Leste","Asia",1201542,2680
"MDA","Moldova","Europe",4320748,2560
"BTN","Bhutan","Asia",691141,2370
"HND","Honduras","North America",7792854,2270
"PNG","Papua New Guinea","Oceania",6057263,2240
"UZB","Uzbekistan","Asia",27606007,2090
"VNM","Vietnam","Asia",86967524,1890
"NIC","Nicaragua","North America",5891199,1870
"SLB","Solomon Islands","Oceania",595613,1830
"SDN","Sudan","Africa",25946220,1710
"ZMB","Zambia","Africa",11862740,1680
"STP","Sao Tome and Principe","Africa",212679,1670
"LAO","Lao PDR","Asia",6834942,1660
"GHA","Ghana","Africa",23832495,1590
"IND","India","Asia",1166079220,1570
"CIV","Cote d'Ivoire","Africa",20617068,1450
"PAK","Pakistan","Asia",176242949,1400
"YEM","Yemen, Rep.","Asia",23822783,1300
"CMR","Cameroon","Africa",18879301,1350
"LSO","Lesotho","Africa",2130819,1330
"KEN","Kenya","Africa",39002772,1290
"MRT","Mauritania","Africa",3129486,1270
"MMR","Myanmar","Asia",48137741,1270
"KGZ","Kyrgyz Republic","Asia",5431747,1250
"BGD","Bangladesh","Asia",156050883,1080
"TJK","Tajikistan","Asia",7349145,1080
"SEN","Senegal","Africa",13711597,1050
"KHM","Cambodia","Asia",14494293,1020
"TCD","Chad","Africa",10329208,980
"SSD","South Sudan","Africa",10625176,970
"TZA","Tanzania","Africa",41048532,920
"BEN","Benin","Africa",8791832,890
"ZWE","Zimbabwe","Africa",12619600,840
"HTI","Haiti","North America",9035536,820
"COM","Comoros","Africa",752438,790
"NPL","Nepal","Asia",28563377,730
"BFA","Burkina Faso","Africa",15746232,700
"RWA","Rwanda","Africa",10473282,700
"SLE","Sierra Leone","Africa",6440053,700
"AFG","Afghanistan","Asia",28400000,680
"UGA","Uganda","Africa",32369558,670
"MLI","Mali","Africa",12666987,650
"MOZ","Mozambique","Africa",21669278,600
"TGO","Togo","Africa",6019877,570
"ETH","Ethiopia","Africa",85237338,550
"GNB","Guinea-Bissau","Africa",1533964,550
"GIN","Guinea","Africa",10057975,470
"GMB","Gambia, The","Africa",1782893,500
"MDG","Madagascar","Africa",20653556,440
"NER","Niger","Africa",15306252,410
"COD","Congo, Dem. Rep.","Africa",68692542,380
"LBR","Liberia","Africa",3441790,370
"CAF","Central African Republic","Africa",4511488,320
"BDI","Burundi","Africa",8988091,270
"MWI","Malawi","Africa",14268711,250
